#-----------------------------------------------------------------------
# Atributos dos heróis de League of Legends.
# Dados extraídos do site <https://www.unitstatistics.com/league-of-legends/>.
#
# Importação dos dados com o R:
#
# tb <- read.table("http://leg.ufpr.br/~walmes/data/rpg-hero-attributes-lol.txt",
#                  header = TRUE,
#                  sep = "\t",
#                  comment.char = "#",
#                  quote = "",
#                  stringsAsFactors = FALSE,
#                  check.names = FALSE)
# str(tb)
#-----------------------------------------------------------------------
Champion	Type	Type2	T	J	M	A	S	DamageType	Output	HP	HPUp	Regen	RegenUp	Mana	ManaUp	Regen2	Regen2Up	Damage	DamageUp	AS	ASUp	Armor	ArmorUp	MR	MRUp	Speed	Range	Resource	Movement	Closers	IP	RP	Date
Wukong	Fighter	Tank	1	1	0	0	0	physical		578	85	6.1899999999999995	0.65	265.84	38	8.04	0.65	60	3.2	0.658	3	24.88	3.5	32.1	1.25	345	175	mana	Decoy		4800	880	2011
Xerath	Mage	Assassin	0	0	1	0	0	magic		514	80	5.42	0.55	366.96	44	6	0.8	55	3	0.625	1.36	21.88	3.5	30	0	340	525	mana			4800	880	2011
Xin Zhao	Fighter	Assassin	0	1	0	0	0	physical		600	92	8175	0.7	273.8	35	7255	0.45	58	3.3	0.672	2.6	25.88	3.5	32.1	1.25	345	175	mana		Dash	1350	585	2010
Yasuo	Fighter	Assassin	0	0	1	0	0	physical		518	82	6.51	0.9	60	0	0	0	55	3.2	0.658	3.2	24.71	3.4	30	0	345	175	none	Dash		6300	975	2013
Yorick	Fighter	Mage	1	0	0	0	0	mixed		564	85	8175	0.7	293.8	35	6755	0.45	58	3.5	0.625	3	25.05	3.6	32.1	1.25	345	125	mana			4800	880	2011
Zac	Tank	Fighter	0	1	0	0	0	magic		615	95	7.92	0.55	0	0	0	0	60	3375	0.638	1.6	23.88	3.5	32.1	1.25	340	175	health	Dash		6300	975	2013
Zed	Assassin	Fighter	0	0	1	0	0	physical		579	80	7.09	0.65	200	0	50	0	55	3.4	0.644	2.1	26.88	3.5	32.1	1.25	345	125	energy	Blink		6300	975	2012
Ziggs	Mage		0	0	1	0	0	magic		524	80	6255	0.6	384	47	6	0.8	54	3.1	0.656	2	21.54	3.3	30	0	325	550	mana	Dash		4800	880	2012
Zilean	Support	Mage	0	0	1	0	1	magic		499	71	5.44	0.5	360.8	60	8.5	0.8	52	3	0.625	2.13	19.13	3.8	30	0	335	550	mana	Sprint		1350	585	2009
Zyra	Mage	Support	0	0	1	0	1	magic		479	74	5.6899999999999995	0.5	334	50	8.5	0.8	53	3.2	0.625	2.11	20.04	3	30	0	325	575	mana			6300	975	2012
#---------------
